pos_x, pos_y, pos_z
0.157379, 0.004589, 0.195950
0.136845, 0.001477, 0.162310
0.141798, 0.001513, 0.199482
0.141565, -0.001531, 0.196406
0.151927, 0.008477, 0.204799
0.163970, 0.011369, 0.225637
0.174339, 0.012862, 0.233846
0.091172, -0.000006, 0.456733
0.098778, 0.002711, 0.456574
0.050142, 0.022416, 0.340085
0.054080, 0.002216, 0.481620
-0.748137, -0.373849, 1.023449
-1.222724, -0.578575, 1.675601
-0.282791, -0.111226, 0.375122
-0.865782, -0.356535, 1.036917
-1.739326, -0.863186, 2.169578
-0.213278, -0.161548, 0.467449
-0.316633, -0.055489, 0.444029
-0.374835, -0.107568, 0.511551
-0.608234, -0.159804, 0.827157
-0.300203, -0.091147, 0.457890
-0.399713, -0.120907, 0.577114
-0.243636, -0.080632, 0.378238
-0.381753, -0.121504, 0.565601
-0.341954, -0.096019, 0.530359
-0.629824, -0.154879, 0.745429
-0.448909, -0.102838, 0.542769
-0.682408, -0.150362, 0.818980
-0.106830, -0.013022, 0.221608
-0.385535, -0.164411, 0.755235
-0.311127, -0.143022, 0.614247
-0.162150, -0.020610, 0.353984
-0.179984, -0.016882, 0.387045
-0.244446, -0.043936, 0.308509
-0.414379, -0.078886, 0.548250
-0.578217, -0.115789, 0.696241
-0.428158, -0.083577, 0.510133
-0.307780, -0.079634, 0.478182
-0.264074, -0.063854, 0.406901
-0.382362, -0.074652, 0.517197
-0.313353, -0.102443, 0.475334
-0.385938, -0.119073, 0.542836
-0.385295, -0.131010, 0.539712
-0.249446, -0.068923, 0.331193
-0.198878, -0.016417, 0.244949
-0.195112, -0.014917, 0.244207
-0.290891, -0.004114, 0.351319
-0.540843, -0.072618, 0.685310
-0.593154, -0.095115, 0.781451
-0.465029, -0.285801, 0.668545
-1.120800, -0.412347, 1.403338
-2.942525, -0.953588, 3.655885
-2.003725, -0.696923, 2.613274
-0.441984, -0.132613, 0.518624
-0.374293, -0.119965, 0.444974
-0.619261, -0.270346, 0.765411
-5.796575, -2.542900, 7.330759
-3.530638, -1.679701, 4.572124
-3.983094, -1.563158, 5.079659
-0.637281, -0.269114, 0.829983
-0.335831, -0.127834, 0.490277
-0.287539, -0.103668, 0.420336
-0.535801, -0.197043, 0.715899
-0.384402, -0.190366, 0.544522
-0.436620, -0.212104, 0.631618
-1.753203, -0.780496, 2.336768
-0.135961, -0.178584, 0.732866
-0.162027, -0.201909, 0.872301
-0.070726, -0.036904, 0.424780
